번호,구분,화장실명,소재지도로명주소,소재지지번주소,남녀공용화장실여부,남성용-대변기수,남성용-소변기수,남성용-장애인용대변기수,남성용-장애인용소변기수,남성용-어린이용대변기수,남성용-어린이용소변기수,여성용-대변기수,여성용-장애인용대변기수,여성용-어린이용대변기수,관리기관명,전화번호,개방시간,설치연월,WGS84위도,WGS84경도,화장실소유구분,화장실설치장소유형,오물처리방식,비상벨설치여부,비상벨설치장소,화장실입구CCTV설치유무,기저귀교환대유무,기저귀교환대장소,리모델링연월,데이터기준일자
1,개방화장실,영도하수종말처리장,부산 영도구 해양로 259 (동삼동),,N,4,4,0,0,0,0,6,0,0,환경관리주식회사 영도사업소,,09:00~18:00,,,,지방자치단체,공공용시설,수세식,N,없음,N,N,없음,,2021-12-31
2,개방화장실,부산해양경비안전서,"부산 영도구 해양로 293 (동삼동, 부산해양경비안전서)",,N,3,4,0,0,0,0,2,0,0,부산해양경비안전서,,00:00~00:00,,,,지방자치단체,공공용시설,수세식,N,없음,N,N,없음,,2021-12-31
3,개방화장실,해양경비안전서 청학출장소,"부산 영도구 해양로 53 (청학동, 부산해양경비안전서)",,Y,0,1,0,0,0,0,1,0,0,해양경비안전서 청학출장소,,00:00~00:00,,,,지방자치단체,공공용시설,수세식,N,없음,N,N,없음,,2021-12-31
4,개방화장실,부산항국제크루즈터미널,"부산 영도구 해양로301번길 17 (동삼동, 부산항국제크루즈터미널)",,N,7,7,0,0,0,0,17,0,0,부산항국제크루즈터미널,,09:00~18:00,,,,지방자치단체,공공용시설,수세식,N,없음,N,N,없음,,2021-12-31
5,공중화장실,남항대교 친수공간 공중화장실,부산 영도구 남항동3가 141-97,부산 영도구 남항동3가 141-97,N,2,3,1,0,0,0,4,1,0,영도구 청소행정과,051-419-4445,24시간,2015-01,35.082921,129.039344,지방자치단체,기타,수세식,Y,남자화장실+여자화장실+장애인화장실,N,N,없음,,2021-12-31
6,공중화장실,홍등대 공중화장실,부산 영도구 남항동3가 24-1,부산 영도구 남항동3가 24-1,N,1,2,0,0,0,0,2,1,0,영도구 청소행정과,051-419-4445,24시간,2015-01,35.086074,129.034932,지방자치단체,기타,수세식,Y,남자화장실+여자화장실,N,N,없음,,2021-12-31
7,공중화장실,게이트볼장 공중화장실,부산 영도구 동삼동 1124-3,부산 영도구 동삼동 1124-3,N,1,1,0,0,0,0,2,0,0,영도구 행정지원과,051-419-4155,24시간,2009-01,35.0752671,129.0668586,지방자치단체,관광·체육시설,수세식,N,없음,N,N,없음,,2021-12-31
8,공중화장실,해수천 2호 공중화장실,부산 영도구 동삼동 1125,부산 영도구 동삼동 1125,N,1,1,0,0,0,0,2,0,0,영도구 청소행정과,051-419-4445,24시간,2016-01,35.074901,129.068395,지방자치단체,관광·체육시설,수세식,Y,남자화장실+여자화장실,N,N,없음,,2021-12-31
9,공중화장실,해수천 1호 공중화장실,부산 영도구 동삼동 1125,부산 영도구 동삼동 1125,N,1,1,0,0,0,0,2,0,0,영도구 청소행정과,051-419-4445,24시간,2016-01,35.074901,129.068395,지방자치단체,관광·체육시설,수세식,Y,장애인화장실+남자화장실+여자화장실,N,N,없음,,2021-12-31
10,공중화장실,아라마루 공중화장실,부산 영도구 동삼동 1156,부산 영도구 동삼동 1156,N,1,3,1,0,0,0,3,1,0,영도구 해양수산과,051-419-4508,24시간,2013-01,35.078572,129.080289,지방자치단체,관광·체육시설,수세식,N,없음,N,Y,여자화장실,,2021-12-31
