위도,경도,div태그
35.113161,129.122315,"<div style=""padding:5px"">부산광역시 남구 이기대공원로 269, 이기대공원큰고개쉼터 공중화장실 (용호동)[*미고시]</div>"
35.109595,129.106931,"<div style=""padding:5px"">부산 남구 용호동 산 85-4</div>"
35.121331,129.105992,"<div style=""padding:5px"">부산광역시 남구 동명로101번길 37-13 (용호동)</div>"
35.122673,129.122445,"<div style=""padding:5px"">부산광역시 남구 이기대공원로 105, 이기대공원관리초소입구 공중화장실 (용호동)[*미고시]</div>"
35.122006,129.124162,"<div style=""padding:5px"">부산광역시 남구 이기대공원로 105-19, 이기대공원매점옆 공중화장실 (용호동)[*미고시]</div>"
35.105642,129.104677,"<div style=""padding:5px"">부산광역시 남구 신선대산복로 174 (용호동)</div>"
35.123586,129.119245,"<div style=""padding:5px"">부산광역시 남구 이기대공원로 11 (용호동)</div>"
35.112942,129.11715,"<div style=""padding:5px"">부산 남구 용호동 산 157-2</div>"
35.129284,129.117371,"<div style=""padding:5px"">부산 남구 용호동 973</div>"
35.101558,129.122909,"<div style=""padding:5px"">부산 남구 용호동 950-1</div>"
35.103482,129.110691,"<div style=""padding:5px"">부산광역시 남구 백운포로 104, 백운포체육공원 공중화장실 (용호동)</div>"
35.102877,129.112053,"<div style=""padding:5px"">부산광역시 남구 백운포로 64, 백운포체육공원(마사구장) 공중화장실 (용호동)[*미고시]</div>"
35.10429,129.111141,"<div style=""padding:5px"">부산광역시 남구 백운포로 34, 백운포테니스장 입구 공중화장실 (용호동)</div>"
35.13257,129.120576,"<div style=""padding:5px"">부산광역시 남구 이기대공원로 57-167, 이기대동생말 공중화장실 (용호동)</div>"
35.123882,129.122218,"<div style=""padding:5px"">부산광역시 남구 이기대공원로 105-15, 이기대공원공룡발자국 공중화장실 (용호동)[*미고시]</div>"
35.103781,129.101306,"<div style=""padding:5px"">부산 남구 용당동 산 170</div>"
35.122245,129.091656,"<div style=""padding:5px"">부산광역시 남구 홍곡로336번길 41 (용당동)</div>"
35.149138,129.080654,"<div style=""padding:5px"">부산 남구 문현동 산10</div>"
35.147124,129.08077,"<div style=""padding:5px"">부산 남구 문현동 산 7</div>"
35.148146,129.076313,"<div style=""padding:5px"">부산 남구 문현동 산 18-5</div>"
35.132298,129.071315,"<div style=""padding:5px"">부산 남구 문현동 산 138</div>"
35.150129,129.08357,"<div style=""padding:5px"">부산 남구 대연동 산54-34</div>"
35.156545,129.083955,"<div style=""padding:5px"">부산 남구 대연동 산53-1</div>"
35.156545,129.083998,"<div style=""padding:5px"">부산 남구 대연동 산 53-1</div>"
35.131481,129.081294,"<div style=""padding:5px"">부산광역시 남구 신정번영로31번길 26-40, 우룡산평화공원 공중화장실 (대연동)</div>"
35.140924,129.086828,"<div style=""padding:5px"">부산 남구 대연동 산 127-5</div>"
35.127172,129.095864,"<div style=""padding:5px"">부산 남구 대연동 779-3,4</div>"
35.12929,129.098055,"<div style=""padding:5px"">부산광역시 남구 유엔평화로 93, 유엔기념공원 (대연동)</div>"
35.125346,129.099555,"<div style=""padding:5px"">부산광역시 남구 신선로447번길 10 (대연동)</div>"
35.149429,129.074032,"<div style=""padding:5px"">부산광역시 남구 진남로 268, 황령산 유원지 생태숲 공중화장실 (문현동)</div>"
35.124894,129.093482,"<div style=""padding:5px"">부산광역시 남구 홍곡로 320번길 106 (대연동, UN평화기념관)</div>"
35.1376985,129.0923943,"<div style=""padding:5px"">부산광역시 남구 수영로267번길 61(대연동, 남구도서관)</div>"
